Time,Sentiment
2019-11-21 11:36:25.646495,Positive
2019-11-21 11:36:26.705304,Negative
2019-11-21 11:36:27.757778,Positive
2019-11-21 11:36:28.809698,Positive
2019-11-21 11:36:29.898178,Positive
2019-11-21 11:36:30.958113,Positive
2019-11-21 11:36:32.023598,Positive
2019-11-21 11:36:33.090663,Negative
2019-11-21 11:36:34.140574,Neutral
2019-11-21 11:36:35.207857,Positive
2019-11-21 11:36:36.276485,Negative
2019-11-21 11:36:37.346569,Neutral
2019-11-21 11:36:38.396630,Positive
2019-11-21 11:36:39.443040,Neutral
2019-11-21 11:36:40.514644,Neutral
2019-11-21 11:36:41.584006,Neutral
2019-11-21 11:36:42.660252,Negative
2019-11-21 11:36:43.714123,Positive
2019-11-21 11:36:44.780717,Positive
2019-11-21 11:36:45.831739,Neutral
2019-11-21 11:36:46.895231,Negative
2019-11-21 11:36:47.982104,Negative
2019-11-21 11:36:49.068702,Neutral
2019-11-21 11:36:50.135701,Negative
2019-11-21 11:36:51.217492,Neutral
2019-11-21 11:36:52.279391,Negative
2019-11-21 11:36:53.347952,Neutral
2019-11-21 11:36:54.396580,Positive
2019-11-21 11:36:55.460778,Negative
2019-11-21 11:36:56.517682,Negative
2019-11-21 11:36:57.587868,Negative
2019-11-21 11:36:58.655658,Positive
2019-11-21 11:36:59.729549,Positive
2019-11-21 11:37:00.802688,Neutral
2019-11-21 11:37:01.885749,Neutral
2019-11-21 11:37:02.967931,Positive
2019-11-21 11:37:04.033771,Negative
2019-11-21 11:37:05.117869,Neutral
2019-11-21 11:37:06.202457,Positive
2019-11-21 11:37:07.269848,Positive
2019-11-21 11:37:08.355771,Positive
2019-11-21 11:37:09.417774,Neutral
2019-11-21 11:37:10.486754,Neutral
2019-11-21 11:37:11.561447,Negative
2019-11-21 11:37:12.621440,Negative
2019-11-21 11:37:13.668495,Neutral
2019-11-21 11:37:14.721345,Neutral
2019-11-21 11:37:15.768534,Positive
2019-11-21 11:37:16.831103,Negative
2019-11-21 11:37:17.894613,Neutral
2019-11-21 11:37:18.984129,Positive
2019-11-21 11:37:20.032049,Negative
2019-11-21 11:37:21.104942,Neutral
2019-11-21 11:37:22.142754,Neutral
2019-11-21 11:37:23.206632,Negative
2019-11-21 11:37:24.263311,Negative
2019-11-21 11:37:25.305842,Neutral
2019-11-21 11:37:26.389628,Negative
2019-11-21 11:37:27.438091,Neutral
2019-11-21 11:37:28.495521,Positive
2019-11-21 11:37:29.558097,Negative
2019-11-21 11:37:30.641121,Negative
2019-11-21 11:37:31.712129,Positive
2019-11-21 11:37:32.774728,Negative
2019-11-21 11:37:33.865422,Negative
2019-11-21 11:37:34.924360,Negative
2019-11-21 11:37:36.002700,Positive
2019-11-21 11:37:37.058250,Positive
2019-11-21 11:37:38.139529,Positive
2019-11-21 11:37:39.192996,Neutral
2019-11-21 11:37:40.259717,Positive
2019-11-21 11:37:41.335717,Positive
2019-11-21 11:37:42.410353,Positive
2019-11-21 11:37:43.461083,Positive
2019-11-21 11:37:44.536928,Neutral
2019-11-21 11:37:45.617352,Positive
2019-11-21 11:37:46.680771,Negative
2019-11-21 11:37:47.747377,Neutral
2019-11-21 11:37:48.829374,Positive
2019-11-21 11:37:49.887574,Positive
2019-11-21 11:37:50.954784,Positive
2019-11-21 11:37:52.020613,Positive
2019-11-21 11:37:53.079010,Neutral
2019-11-21 11:37:54.149826,Positive
2019-11-21 11:37:55.248971,Negative
2019-11-21 11:37:56.313284,Negative
2019-11-21 11:37:57.379398,Negative
2019-11-21 11:37:58.441044,Positive
2019-11-21 11:37:59.509309,Positive
2019-11-21 11:38:00.579172,Negative
2019-11-21 11:38:01.645752,Negative
2019-11-21 11:38:02.700003,Neutral
2019-11-21 11:38:03.806598,Neutral
2019-11-21 11:38:04.881288,Neutral
2019-11-21 11:38:05.936692,Neutral
2019-11-21 11:38:07.001609,Positive
2019-11-21 11:38:08.061128,Neutral
2019-11-21 11:38:09.120716,Neutral
2019-11-21 11:38:10.172457,Neutral
